PK,Player ID.1,Season,Average Points,Average Blocks,Average Defensive Rebounds,Average Offensive Rebounds,Average 3PT Attempts,Average 3PT Made,Average 2PT Attempts,Average 2PT Made,Average Free Throw Attempts,Average Free Throws Made,Average Steals per Game,Average Mins per Game,Average Turn Overs per Game
2,357,2013,13.83,0.46,3.58,4.11,2.83,0.93,4.9,4.9,3.98,3.1,1.61,31:04:00,3.2
3,376,2013,2.11,0.03,0.97,1.54,0.57,0.11,0.89,0.89,0.32,0.22,0.22,8:37,0.38
4,491,2013,5.98,0.5,2.87,4.3,0.01,0,2.1,2.1,2.44,1.78,0.49,17:16,1.06
5,273,2013,2.05,0.43,1.43,2.36,0,0,0.79,0.79,0.74,0.48,0.1,8:37,0.62
6,309,2013,8.78,0.22,2.22,2.87,3.62,1.16,3.11,3.11,1.74,1.4,0.55,26:40:00,1.17
7,81,2013,5.88,0.15,1.48,1.95,2.31,0.74,2.28,2.28,0.76,0.59,0.94,19:46,0.35
8,76,2013,12.79,0.09,2.44,2.97,4.8,1.59,4.87,4.87,1.61,1.46,0.6,32:19:00,1.87
9,303,2013,5.29,0.05,1.08,1.26,2.11,0.79,1.95,1.95,0.89,0.61,0.37,12:31,0.92
1,345,2014,9.92,1.89,5.68,8.15,0,0,4.03,4.03,3.07,1.87,1.77,30:49:00,1.95
2,475,2014,16.91,0.61,2.93,4.56,1.54,0.48,6.06,6.06,5.68,4.32,1.05,36:12:00,2.16
3,362,2014,12.32,0.2,3.52,5.52,0.64,0.16,5.16,5.16,2.64,1.84,1.24,29:32:00,1.88
4,177,2014,5.17,0.47,2.62,3.6,1.02,0.28,1.98,1.98,1.3,0.94,0.45,16:57,0.81
5,151,2014,4.79,0.17,1.27,1.6,3.22,1.01,1.77,1.77,0.39,0.24,0.5,22:09,1.44
6,420,2014,7.81,0.27,2.4,3.31,4.06,1.36,2.61,2.61,1.9,1.22,1.48,26:59:00,1.34
7,387,2014,2,0,0,0,0,0,1,1,2,0,0,13:34,1
8,429,2014,4.37,0.23,1.05,1.21,2.04,0.66,1.48,1.48,0.88,0.75,0.27,15:25,0.55
9,459,2014,3.32,0.36,2.32,3.44,0.52,0.2,1.2,1.2,1.04,0.72,0.16,10:20,0.44
10,369,2014,8.91,0.24,2.95,4.26,0.51,0.13,3.67,3.67,2.61,1.44,1.73,30:20:00,2.48
1,447,2015,18.33,1.68,7.67,10.46,1.07,0.37,7.62,7.62,3.35,2.72,0.71,32:01:00,2.23
2,405,2015,13.18,0.16,2.84,3.43,4.63,1.63,4.9,4.9,2.38,1.75,1.16,28:14:00,2.45
3,354,2015,17.51,1.15,4.74,7.04,0.11,0.02,7.49,7.49,3.66,2.51,0.42,30:00:00,2.34
4,378,2015,14.28,1.86,5.47,7.31,3.38,1.13,5.18,5.18,3.33,2.79,0.74,28:25:00,1.68
5,208,2015,6.05,0.22,1.87,2.23,2.43,0.85,2.29,2.29,0.68,0.62,0.49,17:53,1.23
6,91,2015,7.02,1,3.3,5.33,0.03,0,2.89,2.89,1.89,1.23,0.71,21:23,0.7
7,333,2015,12.82,0.51,2.94,3.41,3.41,1.09,4.84,4.84,3.07,2.06,0.96,30:24:00,3.19
8,243,2015,8.12,0.16,3.4,4.19,2.81,0.86,3.08,3.08,1.4,1.1,0.75,23:06,1.56
9,252,2015,7.48,0.53,3.28,4.14,2.49,0.84,2.65,2.65,1.83,1.33,0.47,21:04,0.72
10,485,2015,6.44,0.33,4.13,5.17,1.49,0.41,2.5,2.5,1.5,1.03,0.87,28:37:00,1.22
1,145,2016,20.23,2.45,5.87,7.84,3.16,1.16,6.45,6.45,7.87,6.16,0.87,25:21:00,3.77
2,227,2016,9.37,0.46,3.24,4,2.37,0.7,3.49,3.49,2.71,1.68,0.63,28:51:00,1.47
3,70,2016,6.6,0.23,2.24,2.82,1.72,0.59,2.46,2.46,1.59,1.09,0.45,17:11,0.87
4,43,2016,3.4,0.51,1.86,2.4,2.35,0.65,1.33,1.33,0.26,0.09,0.23,13:20,0.74
5,139,2016,3.76,0.46,1.82,2.13,0.94,0.27,1.51,1.51,0.76,0.46,1,17:05,1.14
6,210,2016,10.56,0.11,2.85,3.28,4.62,1.8,3.99,3.99,0.93,0.78,0.46,23:01,1.23
7,335,2016,9.89,0.29,2.11,2.61,4.2,1.4,3.6,3.6,1.46,1.29,0.62,21:31,1.38
8,97,2016,9.18,0.85,3.07,4.24,2.73,0.88,3.46,3.46,2.21,1.38,0.82,21:15,1.32
9,373,2016,3.06,0.37,1.61,3.06,0,0,1.24,1.24,1.06,0.57,0.31,11:36,0.54
10,295,2016,3.96,0.46,1.3,2,1.3,0.49,1.46,1.46,0.86,0.56,0.18,9:51,0.3
1,417,2017,15.79,0.86,6.35,8.14,0.14,0,6.72,6.72,4.21,2.36,1.73,33:43:00,3.43
2,165,2017,7.14,0.29,2.29,3.07,0.07,0,3.21,3.21,1.5,0.71,0.86,18:04,1.21
3,27,2017,10.15,0.83,5.6,6.92,5.67,1.73,3.9,3.9,1.37,0.62,1.69,34:13:00,2.62
4,434,2017,13.9,0.73,4.4,5.03,3.03,1.31,4.96,4.96,3.23,2.66,1.04,30:32:00,1.43
5,234,2017,13.14,0.45,3.32,4.56,2.82,0.74,5.05,5.05,3.62,2.3,1.04,25:26:00,1.9
6,161,2017,11.56,0.27,2.34,2.79,2.1,0.64,4.49,4.49,2.67,1.93,0.96,27:44:00,2.37
7,229,2017,5.37,1.11,3.07,3.67,1.7,0.59,2.04,2.04,0.93,0.7,1.22,19:49,1
8,297,2017,15.19,0.59,6.31,7.47,5.9,2.13,5.5,5.5,2.44,2.06,0.57,29:42:00,1.22
9,347,2017,5.94,0.23,1.79,2.27,2.01,0.64,2.33,2.33,0.87,0.63,0.83,21:52,1.68
10,421,2017,15.19,0.26,3.04,3.77,4.91,1.54,5.86,5.86,2.8,1.94,1.03,29:41:00,2.81
11,102,2017,4.42,0.47,2.67,3.35,1.71,0.53,1.74,1.74,0.64,0.41,0.26,15:50,0.88
1,22,2018,16.32,0.94,7.13,10.27,0.06,0,7.17,7.17,2.66,1.99,0.86,30:44:00,1.77
2,24,2018,14.89,0.95,4.98,7.6,1.55,0.48,5.74,5.74,4.23,2.92,0.53,25:16:00,1.58
3,132,2018,21.19,0.35,6.63,7.82,7.15,2.33,7.03,7.03,6.74,4.81,1.07,32:11:00,3.43
4,231,2018,13.76,1.41,3.43,4.71,2.45,0.88,5.14,5.14,3.4,2.6,0.9,26:06:00,1.69
5,490,2018,19.12,0.19,2.93,3.72,5.95,1.93,6.48,6.48,5.11,4.23,0.86,30:54:00,3.8
6,28,2018,6.21,1.36,3.6,4.96,1.49,0.45,2.49,2.49,1.34,0.79,0.28,16:18,0.91
7,85,2018,10.34,1.32,5,6.98,0.73,0.14,4.09,4.09,2.55,2.02,0.59,25:13:00,1.48
8,413,2018,16.72,0.07,2.18,2.89,3.61,1.45,6.33,6.33,3.11,2.61,0.54,31:46:00,2.27
9,259,2018,12.84,0.32,3.67,4.51,4.85,1.67,4.51,4.51,3.01,2.16,0.57,28:46:00,1.53
10,61,2018,8.34,0.46,2.55,3.23,3.82,1.28,2.95,2.95,1.44,1.16,1.56,29:28:00,0.85
1,666969,2019,22.5,0.38,3.58,6.25,0.58,0.25,8.75,8.75,7.42,4.75,0.67,27:50:00,2.46
2,666786,2019,17.81,0.27,3.1,3.87,2.67,0.9,6.67,6.67,4.6,3.57,0.88,30:57:00,3.28
3,666423,2019,14.34,0.3,4.11,5,3.52,1.13,5.21,5.21,4.54,2.79,0.95,30:26:00,2.23
4,666656,2019,12.35,0.29,3.84,4.54,4.83,1.71,4.44,4.44,2.29,1.75,0.7,32:01:00,1.63
5,666581,2019,12.34,0.07,1.42,1.86,5.02,1.78,4.75,4.75,1.22,1.07,0.69,30:54:00,2.54
6,666523,2019,9.21,0.62,2.27,3.38,3.51,1.05,3.65,3.65,1.86,0.86,0.89,23:53,1.3
7,666956,2019,13.22,0.09,3.12,3.55,5.78,2.05,4.8,4.8,1.98,1.57,0.75,25:45:00,1.68
8,666626,2019,6.56,0.78,2.25,3.63,0.06,0.01,2.42,2.42,2.64,1.71,0.36,15:01,0.74
9,666609,2019,13.52,0.17,4.5,6.13,1.81,0.52,5.29,5.29,2.92,2.42,0.77,30:04:00,1.1
1,3547238,2020,19.33,0.5,3.85,4.67,7.22,2.38,7.01,7.01,3.78,2.93,1.14,32:08:00,2.22
2,3547240,2020,11.49,0.92,4.36,5.77,0.97,0.31,4.9,4.9,2.21,1.38,0.28,21:25,1.54
3,3547239,2020,15.8,0.35,4.71,5.94,5.14,1.82,5.76,5.76,3.24,2.45,1.61,28:47:00,2.84
4,3547248,2020,9.23,0.65,3.68,4.61,1.94,0.76,3.59,3.59,1.76,1.28,0.89,27:55:00,1.38
5,3547247,2020,9.64,0.36,2.06,3.07,3.19,0.93,3.51,3.51,2.34,1.7,0.93,32:25:00,1.28
6,3547244,2020,4,0.58,1.77,2.86,0.07,0,1.68,1.68,1,0.63,0.4,10:32,0.51
7,3547241,2020,6.77,0.38,2.42,2.65,2.77,0.77,2.73,2.73,0.65,0.54,1.04,25:46:00,3.19
8,3547243,2020,4.08,0.24,1.81,2.23,1.37,0.42,1.68,1.68,0.42,0.31,0.27,11:00,0.37
9,3547242,2020,6.33,0.28,4.44,4.85,3.11,0.98,2.41,2.41,0.83,0.54,0.59,23:16,0.61
10,3547264,2020,0.95,0.07,0.54,0.66,0.3,0.07,0.39,0.39,0.13,0.09,0.02,2:46,0.13
1,17896075,2021,17.21,0.69,4.56,5.46,5.72,1.87,6.62,6.62,2.5,2.1,1.22,31:55:00,3.62
2,17895966,2021,16.62,0.24,2.85,3.32,6.53,2.26,5.8,5.8,3.46,2.77,0.61,30:14:00,1.92
3,17896076,2021,14.37,1.61,5.99,8.01,1.33,0.32,5.87,5.87,3.49,2.32,0.77,32:31:00,1.92
4,17896055,2021,15.3,0.82,4.86,7.51,2.59,0.77,6.15,6.15,3.04,2.23,1.08,34:49:00,1.87
5,17896073,2021,11.46,0.44,3.04,3.59,3.98,0.91,4.04,4.04,3.22,2.48,1.19,25:47:00,2.81
6,17896065,2021,11.38,0.33,5.39,7.02,3.56,0.95,4.75,4.75,1.31,0.92,0.84,28:25:00,2.85
7,17553979,2021,9.42,0.33,2.58,3.34,2.2,0.71,3.38,3.38,2.87,1.95,0.51,16:51,1.18
8,17896026,2021,14.49,0.41,3.35,4.39,3.38,1.16,5.53,5.53,2.65,2.27,0.87,29:49:00,1.51
9,17553994,2021,11.51,0.31,1.71,2.16,4.2,1.35,4.7,4.7,1.22,0.76,0.8,27:31:00,1.57
10,17896027,2021,8.04,0.19,1.72,2.19,3.81,1.16,3.07,3.07,1.01,0.74,0.57,21:20,0.72
