,Pick,Teams,Draft Year,Player,Games Played,TotalMinPlayed,TotalPointsScored,TotalRebounds,TotalAssist,FieldGoal_%,3point_% ,FreeThrow_%,Win Shares,Win_sharesPer48mins,BoxPlus-Minus,ValueOverReplacementPlayer,AveMinPerGame,AvePointsPerGame,AveReboundPerGame,AveAssistPerGame
438,53,LAL,1997,Paul Rogers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
439,54,OKC,1997,Mark Blount,605.0,13981.0,4941.0,2784.0,513.0,0.504,0.359,0.723,18.8,0.065,0.0,0.0,23.1,8.2,4.6,0.8
440,55,BOS,1997,Ben Pepper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
441,56,UTA,1997,Nate Erdmann,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
442,57,CHI,1997,Roberto Duenas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,1,LAC,1998,Michael Olowokandi,500.0,13129.0,4135.0,3414.0,327.0,0.435,0.0,0.597,2.5,0.009,0.0,0.0,26.3,8.3,6.8,0.7
444,2,MEM,1998,Mike Bibby,1001.0,33962.0,14698.0,3103.0,5517.0,0.436,0.379,0.802,73.2,0.104,0.8,23.8,33.9,14.7,3.1,5.5
445,3,DEN,1998,Raef LaFrentz,563.0,14545.0,5690.0,3423.0,606.0,0.466,0.363,0.711,39.4,0.13,0.7,9.8,25.8,10.1,6.1,1.1
446,4,TOR,1998,Antawn Jamison,1083.0,37638.0,20042.0,8157.0,1761.0,0.451,0.346,0.724,87.8,0.112,0.6,24.5,34.8,18.5,7.5,1.6
447,5,GSW,1998,Vince Carter,1541.0,46367.0,25728.0,6606.0,4714.0,0.435,0.371,0.798,125.3,0.13,3.0,57.9,30.1,16.7,4.3,3.1
448,6,DAL,1998,Robert Traylor,438.0,6243.0,2085.0,1640.0,312.0,0.474,0.167,0.577,13.3,0.102,0.0,0.7,14.3,4.8,3.7,0.7
449,7,SAC,1998,Jason Williams,788.0,23188.0,8266.0,1810.0,4611.0,0.398,0.327,0.813,38.5,0.08,0.2,12.9,29.4,10.5,2.3,5.9
450,8,PHI,1998,Larry Hughes,727.0,22368.0,10242.0,3039.0,2290.0,0.406,0.309,0.757,32.3,0.069,0.0,10.7,30.8,14.1,4.2,3.1
451,9,MIL,1998,Dirk Nowitzki,1522.0,51368.0,31560.0,11489.0,3651.0,0.471,0.38,0.879,206.3,0.193,4.5,84.8,33.8,20.7,7.5,2.4
452,10,BOS,1998,Paul Pierce,1343.0,45880.0,26397.0,7527.0,4708.0,0.445,0.368,0.806,150.0,0.157,3.7,65.5,34.2,19.7,5.6,3.5
453,11,DET,1998,Bonzi Wells,591.0,15133.0,7147.0,2737.0,1249.0,0.46,0.327,0.697,29.4,0.093,0.2,8.3,25.6,12.1,4.6,2.1
454,12,ORL,1998,Michael Doleac,587.0,8789.0,2882.0,1955.0,343.0,0.439,0.125,0.791,12.7,0.07,0.0,0.0,15.0,4.9,3.3,0.6
455,13,ORL,1998,Keon Clark,353.0,7971.0,2882.0,2096.0,322.0,0.5,0.053,0.645,18.2,0.11,0.0,2.6,22.6,8.2,5.9,0.9
456,14,HOU,1998,Michael Dickerson,212.0,7490.0,3257.0,609.0,553.0,0.432,0.402,0.784,9.6,0.061,0.0,1.3,35.3,15.4,2.9,2.6
457,15,ORL,1998,Matt Harpring,665.0,17584.0,7645.0,3366.0,907.0,0.481,0.333,0.753,41.9,0.114,0.0,6.2,26.4,11.5,5.1,1.4
458,16,HOU,1998,Bryce Drew,243.0,3970.0,1081.0,295.0,524.0,0.382,0.371,0.83,2.4,0.03,0.0,0.0,16.3,4.4,1.2,2.2
459,17,MIN,1998,Rasho Nesterović,811.0,17983.0,5519.0,4143.0,836.0,0.502,0.077,0.585,39.9,0.107,0.0,5.0,22.2,6.8,5.1,1.0
460,18,HOU,1998,Mirsad Türkcan,17.0,90.0,33.0,33.0,5.0,0.368,0.0,0.625,0.0,0.0,0.0,0.0,5.3,1.9,1.9,0.3
461,19,MIL,1998,Pat Garrity,552.0,11062.0,4017.0,1457.0,443.0,0.417,0.398,0.806,18.7,0.081,0.0,0.5,20.0,7.3,2.6,0.8
462,20,ATL,1998,Roshown McLeod,113.0,2130.0,817.0,308.0,124.0,0.409,0.111,0.819,0.2,0.004,0.0,0.0,18.8,7.2,2.7,1.1
463,21,CHA,1998,Ricky Davis,736.0,21927.0,9912.0,2550.0,2426.0,0.446,0.361,0.781,28.0,0.061,0.0,6.3,29.8,13.5,3.5,3.3
464,22,LAC,1998,Brian Skinner,608.0,10910.0,2876.0,2841.0,288.0,0.494,0.333,0.566,15.8,0.07,0.0,0.0,17.9,4.7,4.7,0.5
465,23,DEN,1998,Tyronn Lue,554.0,12564.0,4710.0,943.0,1727.0,0.437,0.391,0.829,19.7,0.075,0.0,0.6,22.7,8.5,1.7,3.1
466,24,SAS,1998,Felipe López,249.0,4145.0,1448.0,604.0,252.0,0.432,0.327,0.659,3.1,0.036,0.0,0.0,16.6,5.8,2.4,1.0
467,25,IND,1998,Al Harrington,981.0,28009.0,13237.0,5482.0,1649.0,0.444,0.352,0.727,42.5,0.073,0.0,3.7,28.6,13.5,5.6,1.7
468,26,LAL,1998,Sam Jacobson,68.0,752.0,283.0,80.0,36.0,0.511,0.36,0.739,1.1,0.071,0.0,0.0,11.1,4.2,1.2,0.5
469,27,OKC,1998,Vladimir Stepania,270.0,3726.0,1118.0,1180.0,94.0,0.425,0.133,0.536,5.2,0.067,0.0,0.0,13.8,4.1,4.4,0.3
470,28,CHI,1998,Corey Benjamin,153.0,2191.0,835.0,259.0,143.0,0.39,0.289,0.652,0.0,0.0,0.0,0.0,14.3,5.5,1.7,0.9
471,29,UTA,1998,Nazr Mohammed,1005.0,15891.0,5827.0,4708.0,375.0,0.486,0.0,0.64,34.3,0.104,0.0,0.0,15.8,5.8,4.7,0.4
472,30,DAL,1998,Ansu Sesay,127.0,1301.0,401.0,223.0,62.0,0.434,0.276,0.64,1.4,0.051,0.0,0.0,10.2,3.2,1.8,0.5
473,31,LAL,1998,Ruben Patterson,649.0,15955.0,6953.0,2697.0,1150.0,0.517,0.179,0.641,35.1,0.106,0.7,10.8,24.6,10.7,4.2,1.8
474,32,OKC,1998,Rashard Lewis,1049.0,33541.0,15579.0,5433.0,1765.0,0.452,0.386,0.805,90.9,0.13,1.9,33.1,32.0,14.9,5.2,1.7
475,33,OKC,1998,Jelani McCoy,260.0,3824.0,1200.0,921.0,135.0,0.539,0.0,0.49,5.1,0.064,0.0,0.0,14.7,4.6,3.5,0.5
476,34,CHI,1998,Shammond Williams,325.0,5351.0,1892.0,518.0,765.0,0.401,0.366,0.798,8.8,0.079,0.0,1.7,16.5,5.8,1.6,2.4
477,35,DAL,1998,Bruno Šundov,102.0,524.0,173.0,107.0,18.0,0.356,0.208,0.526,0.0,0.0,0.0,0.0,5.1,1.7,1.0,0.2
478,36,SAC,1998,Jerome James,358.0,4771.0,1540.0,1099.0,118.0,0.485,0.0,0.617,2.9,0.029,0.0,0.0,13.3,4.3,3.1,0.3
479,37,PHI,1998,Casey Shaw,9.0,14.0,2.0,3.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.2,0.3,0.0
480,38,NYK,1998,DeMarco Johnson,5.0,37.0,6.0,7.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,7.4,1.2,1.4,0.0
481,39,MIL,1998,Rafer Alston,671.0,19392.0,6799.0,1891.0,3202.0,0.383,0.354,0.729,32.9,0.081,0.0,9.6,28.9,10.1,2.8,4.8
482,40,DET,1998,Korleone Young,3.0,15.0,13.0,4.0,1.0,0.5,0.25,1.0,0.1,0.28,9.4,0.0,5.0,4.3,1.3,0.3
483,41,HOU,1998,Cuttino Mobley,747.0,27618.0,11964.0,2902.0,2015.0,0.433,0.378,0.835,52.2,0.091,0.0,12.9,37.0,16.0,3.9,2.7
484,42,ORL,1998,Miles Simon,5.0,19.0,2.0,2.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.4,0.4,0.0
485,43,WAS,1998,Jahidi White,334.0,5913.0,1954.0,1944.0,63.0,0.51,0.0,0.534,10.4,0.085,0.0,0.0,17.7,5.9,5.8,0.2
486,44,NYK,1998,Sean Marks,230.0,2275.0,638.0,501.0,50.0,0.448,0.2,0.665,2.6,0.055,0.0,0.0,9.9,2.8,2.2,0.2
487,45,LAL,1998,Toby Bailey,73.0,698.0,241.0,126.0,43.0,0.407,0.2,0.692,1.0,0.072,0.0,0.0,9.6,3.3,1.7,0.6
488,46,MIN,1998,Andrae Patterson,40.0,304.0,120.0,67.0,16.0,0.455,0.0,0.778,0.7,0.114,0.0,0.0,7.6,3.0,1.7,0.4
489,47,TOR,1998,Tyson Wheeler,1.0,3.0,4.0,0.0,2.0,1.0,1.0,0.5,0.1,1.367,51.1,0.0,3.0,4.0,0.0,2.0
490,48,CLE,1998,Ryan Stack,43.0,397.0,99.0,79.0,10.0,0.352,0.0,0.787,0.2,0.028,0.0,0.0,9.2,2.3,1.8,0.2
491,49,ATL,1998,Cory Carr,42.0,624.0,171.0,49.0,66.0,0.329,0.167,0.75,0.0,0.0,0.0,0.0,14.9,4.1,1.2,1.6
492,50,CHA,1998,Andrew Betts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
493,51,MIA,1998,Corey Brewer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
494,52,SAS,1998,Derrick Dial,82.0,687.0,253.0,133.0,63.0,0.372,0.19,0.672,0.6,0.045,0.0,0.0,8.4,3.1,1.6,0.8
495,53,DAL,1998,Greg Buckner,570.0,10895.0,2878.0,1593.0,719.0,0.45,0.334,0.757,20.9,0.092,0.0,3.0,19.1,5.0,2.8,1.3
496,54,DEN,1998,Tremaine Fowlkes,103.0,1233.0,301.0,228.0,54.0,0.409,0.2,0.791,2.1,0.08,0.0,0.0,12.0,2.9,2.2,0.5
497,55,DEN,1998,Ryan Bowen,507.0,6502.0,1319.0,1060.0,250.0,0.456,0.206,0.693,12.4,0.092,0.0,2.0,12.8,2.6,2.1,0.5
498,56,MEM,1998,J.R. Henderson,30.0,331.0,97.0,47.0,22.0,0.365,0.4,0.556,0.0,0.0,0.0,0.0,11.0,3.2,1.6,0.7
499,57,UTA,1998,Torraye Braggs,22.0,178.0,46.0,51.0,7.0,0.475,0.0,0.667,0.3,0.071,0.0,0.0,8.1,2.1,2.3,0.3
500,58,CHI,1998,Maceo Baston,105.0,831.0,286.0,175.0,26.0,0.616,0.375,0.74,2.3,0.134,0.0,0.2,7.9,2.7,1.7,0.2
501,1,CHI,1999,Elton Brand,1058.0,34910.0,16827.0,9040.0,2184.0,0.5,0.095,0.736,109.6,0.151,2.2,37.3,33.0,15.9,8.5,2.1
502,2,MEM,1999,Steve Francis,576.0,21632.0,10446.0,3215.0,3473.0,0.429,0.341,0.797,54.1,0.12,2.2,22.7,37.6,18.1,5.6,6.0
503,3,CHA,1999,Baron Davis,835.0,28592.0,13447.0,3183.0,6025.0,0.409,0.32,0.711,63.1,0.106,2.6,33.1,34.2,16.1,3.8,7.2
504,4,LAC,1999,Lamar Odom,961.0,32131.0,12781.0,8059.0,3554.0,0.463,0.312,0.693,77.0,0.115,1.9,31.4,33.4,13.3,8.4,3.7
505,5,TOR,1999,Jonathan Bender,262.0,3847.0,1453.0,582.0,170.0,0.417,0.34,0.763,3.8,0.047,0.0,0.0,14.7,5.5,2.2,0.6
506,6,MIN,1999,Wally Szczerbiak,651.0,20052.0,9195.0,2602.0,1532.0,0.485,0.406,0.86,53.3,0.127,0.7,13.6,30.8,14.1,4.0,2.4
507,7,WAS,1999,Richard Hamilton,921.0,29559.0,15708.0,2852.0,3125.0,0.449,0.346,0.852,62.8,0.102,0.0,13.2,32.1,17.1,3.1,3.4
508,8,CLE,1999,Andre Miller,1304.0,40268.0,16278.0,4795.0,8524.0,0.461,0.217,0.807,100.8,0.12,1.3,33.4,30.9,12.5,3.7,6.5
509,9,PHO,1999,Shawn Marion,1163.0,40097.0,17700.0,10101.0,2198.0,0.484,0.331,0.81,124.9,0.15,2.7,47.6,34.5,15.2,8.7,1.9
510,10,ATL,1999,Jason Terry,1410.0,42034.0,18881.0,3274.0,5415.0,0.444,0.38,0.845,102.0,0.116,1.5,37.4,29.8,13.4,2.3,3.8
511,11,CLE,1999,Trajan Langdon,119.0,1738.0,647.0,159.0,152.0,0.416,0.396,0.91,2.9,0.079,0.0,0.4,14.6,5.4,1.3,1.3
512,12,TOR,1999,Aleksandar Radojević,15.0,152.0,26.0,36.0,7.0,0.308,0.0,0.625,0.0,0.0,0.0,0.0,10.1,1.7,2.4,0.5
513,13,OKC,1999,Corey Maggette,827.0,23358.0,13198.0,4022.0,1696.0,0.453,0.324,0.822,62.2,0.128,0.3,13.3,28.2,16.0,4.9,2.1
514,14,MIN,1999,William Avery,142.0,1205.0,379.0,93.0,199.0,0.33,0.255,0.714,0.0,0.0,0.0,0.0,8.5,2.7,0.7,1.4
515,15,NYK,1999,Frédéric Weis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
516,16,CHI,1999,Metta World Peace,991.0,31440.0,13058.0,4448.0,2631.0,0.414,0.339,0.715,61.1,0.093,1.2,25.4,31.7,13.2,4.5,2.7
517,17,ATL,1999,Cal Bowdler,142.0,1383.0,424.0,272.0,29.0,0.404,0.182,0.768,1.8,0.061,0.0,0.0,9.7,3.0,1.9,0.2
518,18,DEN,1999,James Posey,864.0,23260.0,7419.0,4061.0,1413.0,0.41,0.349,0.82,51.6,0.107,0.3,13.7,26.9,8.6,4.7,1.6
519,19,UTA,1999,Quincy Lewis,159.0,1853.0,567.0,210.0,96.0,0.397,0.333,0.71,0.8,0.02,0.0,0.0,11.7,3.6,1.3,0.6
520,20,ATL,1999,Dion Glover,294.0,6132.0,2407.0,897.0,455.0,0.411,0.317,0.756,5.8,0.045,0.0,0.3,20.9,8.2,3.1,1.5
521,21,GSW,1999,Jeff Foster,764.0,15750.0,3747.0,5248.0,703.0,0.497,0.13,0.615,47.5,0.145,0.0,6.3,20.6,4.9,6.9,0.9
522,22,HOU,1999,Kenny Thomas,632.0,17306.0,5876.0,4341.0,975.0,0.465,0.244,0.699,31.2,0.086,0.0,3.1,27.4,9.3,6.9,1.5
523,23,LAL,1999,Devean George,630.0,11682.0,3536.0,1975.0,543.0,0.392,0.343,0.721,18.2,0.075,0.0,1.4,18.5,5.6,3.1,0.9
524,24,UTA,1999,Andrei Kirilenko,797.0,23916.0,9431.0,4352.0,2169.0,0.474,0.31,0.754,75.4,0.151,4.9,41.7,30.0,11.8,5.5,2.7
525,25,MIA,1999,Tim James,43.0,261.0,68.0,46.0,11.0,0.329,0.333,0.652,0.0,0.0,0.0,0.0,6.1,1.6,1.1,0.3
526,26,IND,1999,Vonteego Cummings,199.0,3789.0,1381.0,373.0,534.0,0.383,0.321,0.726,2.2,0.028,0.0,0.0,19.0,6.9,1.9,2.7
527,27,ATL,1999,Jumaine Jones,471.0,9780.0,3325.0,1987.0,408.0,0.424,0.349,0.704,15.1,0.074,0.0,2.1,20.8,7.1,4.2,0.9
528,28,UTA,1999,Scott Padgett,448.0,5613.0,1874.0,1227.0,325.0,0.41,0.373,0.736,13.2,0.113,0.0,2.3,12.5,4.2,2.7,0.7
529,29,SAS,1999,Leon Smith,15.0,104.0,33.0,33.0,3.0,0.393,0.0,0.647,0.2,0.112,0.0,0.0,6.9,2.2,2.2,0.2
530,30,LAL,1999,John Celestand,16.0,185.0,37.0,11.0,20.0,0.333,0.222,0.833,0.0,0.0,0.0,0.0,11.6,2.3,0.7,1.3
531,31,LAC,1999,Rico Hill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
532,32,CHI,1999,Michael Ruffin,414.0,5966.0,716.0,1632.0,250.0,0.407,0.0,0.459,6.8,0.055,0.0,0.0,14.4,1.7,3.9,0.6
533,33,DEN,1999,Chris Herren,70.0,1005.0,224.0,73.0,167.0,0.336,0.328,0.692,0.5,0.025,0.0,0.0,14.4,3.2,1.0,2.4
534,34,BRK,1999,Evan Eschmeyer,153.0,2138.0,421.0,601.0,76.0,0.463,0.0,0.621,4.0,0.09,0.0,0.0,14.0,2.8,3.9,0.5
535,35,WAS,1999,Calvin Booth,366.0,4477.0,1190.0,1010.0,151.0,0.451,0.222,0.748,8.0,0.086,0.0,0.3,12.2,3.3,2.8,0.4
536,36,DAL,1999,Wang Zhizhi,137.0,1256.0,604.0,231.0,39.0,0.417,0.385,0.735,2.1,0.078,0.0,0.1,9.2,4.4,1.7,0.3
537,37,MEM,1999,Obinna Ekezie,143.0,1516.0,510.0,383.0,31.0,0.423,0.0,0.72,1.7,0.054,0.0,0.0,10.6,3.6,2.7,0.2
538,38,ORL,1999,Laron Profit,135.0,1537.0,441.0,209.0,166.0,0.419,0.236,0.712,0.7,0.021,0.0,0.0,11.4,3.3,1.5,1.2
539,39,CLE,1999,A.J. Bramlett,8.0,61.0,8.0,22.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,7.6,1.0,2.8,0.0
540,40,DAL,1999,Gordan Giriček,384.0,8824.0,3670.0,941.0,584.0,0.442,0.368,0.823,8.0,0.044,0.0,0.0,23.0,9.6,2.5,1.5
541,41,DEN,1999,Francisco Elson,472.0,7207.0,1726.0,1638.0,260.0,0.478,0.188,0.7,11.7,0.078,0.0,0.0,15.3,3.7,3.5,0.6
542,42,MIN,1999,Louis Bullock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
543,43,CHA,1999,Lee Nailon,306.0,5820.0,2622.0,936.0,298.0,0.474,0.111,0.786,8.0,0.066,0.0,0.0,19.0,8.6,3.1,1.0
544,44,HOU,1999,Tyrone Washington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
545,45,SAC,1999,Ryan Robertson,1.0,25.0,5.0,0.0,0.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,25.0,5.0,0.0,0.0
546,46,NYK,1999,J.R. Koch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
547,47,PHI,1999,Todd MacCulloch,223.0,3439.0,1369.0,888.0,121.0,0.541,0.0,0.642,11.9,0.166,0.3,2.0,15.4,6.1,4.0,0.5
548,48,MIL,1999,Galen Young,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
549,49,CHI,1999,Lari Ketner,25.0,139.0,34.0,34.0,2.0,0.406,0.0,0.667,0.0,0.0,0.0,0.0,5.6,1.4,1.4,0.1
550,50,HOU,1999,Venson Hamilton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
551,51,MEM,1999,Antwain Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552,52,POR,1999,Roberto Bergersen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
553,53,MIA,1999,Rodney Buford,230.0,4182.0,1472.0,598.0,179.0,0.412,0.3,0.758,2.9,0.033,0.0,0.0,18.2,6.4,2.6,0.8
554,54,DET,1999,Melvin Levett,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
555,55,BOS,1999,Kris Clack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
556,56,GSW,1999,Tim Young,25.0,137.0,54.0,35.0,5.0,0.333,0.0,0.778,0.2,0.058,0.0,0.0,5.5,2.2,1.4,0.2
557,57,SAS,1999,Manu Ginóbili,1057.0,26859.0,14043.0,3697.0,4001.0,0.447,0.369,0.827,106.4,0.19,5.0,47.6,25.4,13.3,3.5,3.8
558,58,UTA,1999,Eddie Lucas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
559,1,BRK,2000,Kenyon Martin,757.0,23134.0,9325.0,5159.0,1439.0,0.483,0.234,0.629,48.0,0.1,0.1,12.1,30.6,12.3,6.8,1.9
560,2,MEM,2000,Stromile Swift,547.0,10804.0,4582.0,2535.0,275.0,0.473,0.074,0.699,21.3,0.095,0.0,1.1,19.8,8.4,4.6,0.5
561,3,LAC,2000,Darius Miles,446.0,11730.0,4507.0,2190.0,840.0,0.472,0.168,0.59,9.5,0.039,0.0,3.0,26.3,10.1,4.9,1.9
562,4,CHI,2000,Marcus Fizer,289.0,6032.0,2782.0,1340.0,352.0,0.435,0.191,0.691,2.7,0.022,0.0,0.0,20.9,9.6,4.6,1.2
563,5,ORL,2000,Mike Miller,1032.0,27812.0,10973.0,4376.0,2666.0,0.459,0.407,0.769,60.7,0.105,0.8,19.8,26.9,10.6,4.2,2.6
564,6,ATL,2000,DerMarr Johnson,344.0,5930.0,2121.0,769.0,304.0,0.411,0.336,0.789,6.4,0.052,0.0,0.6,17.2,6.2,2.2,0.9
565,7,CHI,2000,Chris Mihm,436.0,8758.0,3262.0,2302.0,223.0,0.459,0.231,0.704,13.3,0.073,0.0,0.0,20.1,7.5,5.3,0.5
566,8,CLE,2000,Jamal Crawford,1327.0,38994.0,19419.0,2948.0,4541.0,0.41,0.348,0.862,60.7,0.075,0.0,18.4,29.4,14.6,2.2,3.4
567,9,HOU,2000,Joel Przybilla,592.0,11733.0,2293.0,3665.0,256.0,0.552,0.0,0.557,23.0,0.094,0.0,0.8,19.8,3.9,6.2,0.4
568,10,ORL,2000,Keyon Dooling,728.0,14134.0,5067.0,964.0,1601.0,0.416,0.349,0.799,18.5,0.063,0.0,0.0,19.4,7.0,1.3,2.2
569,11,BOS,2000,Jérôme Moïso,145.0,1392.0,386.0,395.0,38.0,0.489,0.0,0.593,2.1,0.074,0.0,0.0,9.6,2.7,2.7,0.3
570,12,DAL,2000,Etan Thomas,409.0,7084.0,2341.0,1927.0,149.0,0.513,0.0,0.603,14.9,0.101,0.0,0.0,17.3,5.7,4.7,0.4
571,13,ORL,2000,Courtney Alexander,187.0,4067.0,1690.0,409.0,227.0,0.422,0.339,0.813,4.1,0.048,0.0,0.0,21.7,9.0,2.2,1.2
572,14,DET,2000,Mateen Cleaves,167.0,1863.0,609.0,175.0,310.0,0.389,0.267,0.728,0.0,0.0,0.0,0.0,11.2,3.6,1.0,1.9
573,15,MIL,2000,Jason Collier,151.0,2178.0,841.0,443.0,51.0,0.455,0.35,0.738,1.9,0.042,0.0,0.0,14.4,5.6,2.9,0.3
574,16,SAC,2000,Hedo Türkoğlu,997.0,26695.0,11022.0,3971.0,2832.0,0.426,0.384,0.784,63.3,0.114,0.9,19.6,26.8,11.1,4.0,2.8
575,17,OKC,2000,Desmond Mason,643.0,19641.0,7767.0,2863.0,1049.0,0.449,0.26,0.74,23.1,0.056,0.0,0.0,30.5,12.1,4.5,1.6
576,18,LAC,2000,Quentin Richardson,783.0,20785.0,8032.0,3666.0,1138.0,0.397,0.355,0.718,32.8,0.076,0.0,8.5,26.5,10.3,4.7,1.5
577,19,CHA,2000,Jamaal Magloire,680.0,14621.0,4917.0,4408.0,386.0,0.48,0.0,0.639,27.7,0.091,0.0,0.0,21.5,7.2,6.5,0.6
578,20,PHI,2000,Speedy Claxton,334.0,8548.0,3096.0,830.0,1441.0,0.409,0.193,0.762,14.2,0.08,0.0,3.6,25.6,9.3,2.5,4.3
579,21,TOR,2000,Morris Peterson,711.0,19366.0,7628.0,2483.0,1090.0,0.418,0.373,0.773,35.7,0.089,0.0,7.6,27.2,10.7,3.5,1.5
580,22,NYK,2000,Donnell Harvey,205.0,3318.0,1150.0,827.0,161.0,0.46,0.1,0.659,4.7,0.069,0.0,0.0,16.2,5.6,4.0,0.8
581,23,UTA,2000,DeShawn Stevenson,824.0,18396.0,5930.0,1832.0,1355.0,0.406,0.34,0.698,12.1,0.032,0.0,0.0,22.3,7.2,2.2,1.6
582,24,CHI,2000,Dalibor Bagarić,95.0,973.0,251.0,238.0,37.0,0.361,0.0,0.559,0.0,0.0,0.0,0.0,10.2,2.6,2.5,0.4
583,25,PHO,2000,Jake Tsakalidis,315.0,5005.0,1497.0,1238.0,101.0,0.49,0.0,0.657,9.9,0.095,0.0,0.0,15.9,4.8,3.9,0.3
584,26,DEN,2000,Mamadou N'Diaye,69.0,858.0,262.0,225.0,8.0,0.427,0.0,0.736,1.8,0.101,0.0,0.0,12.4,3.8,3.3,0.1
585,27,IND,2000,Primož Brezec,342.0,6192.0,2452.0,1327.0,179.0,0.498,0.167,0.701,10.8,0.084,0.0,0.0,18.1,7.2,3.9,0.5
586,28,POR,2000,Erick Barkley,27.0,266.0,77.0,21.0,40.0,0.356,0.267,0.9,0.2,0.027,0.0,0.0,9.9,2.9,0.8,1.5
587,29,LAL,2000,Mark Madsen,453.0,5335.0,975.0,1157.0,181.0,0.457,0.063,0.527,8.2,0.074,0.0,0.0,11.8,2.2,2.6,0.4
588,30,LAC,2000,Marko Jarić,447.0,11246.0,3193.0,1200.0,1600.0,0.404,0.344,0.73,12.1,0.052,0.0,3.8,25.2,7.1,2.7,3.6
589,31,DAL,2000,Dan Langhi,133.0,1253.0,393.0,199.0,39.0,0.391,0.289,0.613,0.3,0.012,0.0,0.0,9.4,3.0,1.5,0.3
590,32,CHI,2000,A.J. Guyton,80.0,1246.0,442.0,80.0,147.0,0.377,0.378,0.822,0.3,0.01,0.0,0.0,15.6,5.5,1.0,1.8
591,33,CHI,2000,Jake Voskuhl,450.0,6443.0,1814.0,1539.0,237.0,0.487,0.333,0.714,11.6,0.087,0.0,0.0,14.3,4.0,3.4,0.5
592,34,CHI,2000,Khalid El-Amin,50.0,936.0,314.0,81.0,145.0,0.37,0.333,0.778,0.6,0.03,0.0,0.0,18.7,6.3,1.6,2.9
593,35,WAS,2000,Mike Smith,17.0,180.0,51.0,22.0,10.0,0.322,0.167,0.625,0.0,0.0,0.0,0.0,10.6,3.0,1.3,0.6
594,36,BRK,2000,Soumaila Samake,47.0,303.0,68.0,76.0,5.0,0.389,0.0,0.462,0.3,0.046,0.0,0.0,6.4,1.4,1.6,0.1
595,37,MIA,2000,Eddie House,717.0,12405.0,5356.0,1223.0,1112.0,0.409,0.39,0.851,20.0,0.077,0.0,6.1,17.3,7.5,1.7,1.6
596,38,HOU,2000,Eduardo Nájera,619.0,11213.0,3052.0,2307.0,493.0,0.481,0.311,0.671,24.7,0.106,0.0,3.0,18.1,4.9,3.7,0.8
597,39,NYK,2000,Lavor Postell,61.0,446.0,195.0,45.0,13.0,0.335,0.25,0.795,0.0,0.0,0.0,0.0,7.3,3.2,0.7,0.2
598,40,ATL,2000,Hanno Möttölä,155.0,2360.0,715.0,442.0,75.0,0.442,0.063,0.783,0.9,0.019,0.0,0.0,15.2,4.6,2.9,0.5
