,Pick,Teams,Draft Year,Player,Games Played,TotalMinPlayed,TotalPointsScored,TotalRebounds,TotalAssist,FieldGoal_%,3point_% ,FreeThrow_%,Win Shares,Win_sharesPer48mins,BoxPlus-Minus,ValueOverReplacementPlayer,AveMinPerGame,AvePointsPerGame,AveReboundPerGame,AveAssistPerGame
388,3,BOS,1997,Chauncey Billups,1043.0,33008.0,15802.0,2992.0,5636.0,0.415,0.387,0.894,120.8,0.176,3.2,43.5,31.6,15.2,2.9,5.4
389,4,MEM,1997,Antonio Daniels,872.0,19671.0,6623.0,1613.0,2934.0,0.444,0.311,0.793,47.0,0.115,0.0,10.1,22.6,7.6,1.8,3.4
390,5,DEN,1997,Tony Battie,837.0,17649.0,5082.0,4287.0,522.0,0.488,0.162,0.69,36.4,0.099,0.0,0.8,21.1,6.1,5.1,0.6
391,6,BOS,1997,Ron Mercer,432.0,13418.0,5892.0,1342.0,921.0,0.429,0.25,0.808,9.4,0.034,0.0,0.0,31.1,13.6,3.1,2.1
392,7,BRK,1997,Tim Thomas,824.0,21336.0,9454.0,3379.0,1272.0,0.437,0.369,0.758,35.2,0.079,0.0,6.4,25.9,11.5,4.1,1.5
393,8,GSW,1997,Adonal Foyle,733.0,13060.0,2989.0,3461.0,344.0,0.477,0.0,0.499,18.7,0.069,0.0,1.1,17.8,4.1,4.7,0.5
394,9,TOR,1997,Tracy McGrady,938.0,30658.0,18381.0,5276.0,4161.0,0.435,0.338,0.746,97.3,0.152,5.2,55.7,32.7,19.6,5.6,4.4
395,10,MIL,1997,Danny Fortson,440.0,8832.0,3615.0,3184.0,301.0,0.472,0.167,0.785,22.3,0.121,0.0,0.0,20.1,8.2,7.2,0.7
396,11,SAC,1997,Tariq Abdul-Wahad,236.0,4807.0,1830.0,776.0,266.0,0.417,0.237,0.703,3.5,0.035,0.0,0.0,20.4,7.8,3.3,1.1
397,12,IND,1997,Austin Croshere,659.0,11480.0,4475.0,2649.0,627.0,0.407,0.34,0.861,27.6,0.115,0.0,5.6,17.4,6.8,4.0,1.0
398,13,CLE,1997,Derek Anderson,615.0,17975.0,7357.0,1988.0,2083.0,0.408,0.341,0.853,43.9,0.117,1.0,13.5,29.2,12.0,3.2,3.4
399,14,LAC,1997,Maurice Taylor,534.0,13324.0,5889.0,2452.0,623.0,0.466,0.152,0.711,9.9,0.036,0.0,0.0,25.0,11.0,4.6,1.2
400,15,DAL,1997,Kelvin Cato,541.0,10617.0,2960.0,2874.0,244.0,0.507,0.077,0.644,28.6,0.129,0.0,4.4,19.6,5.5,5.3,0.5
401,16,CLE,1997,Brevin Knight,729.0,18176.0,5342.0,1785.0,4481.0,0.412,0.134,0.789,32.6,0.086,0.3,10.5,24.9,7.3,2.4,6.1
402,17,ORL,1997,Johnny Taylor,54.0,866.0,256.0,120.0,26.0,0.402,0.394,0.718,0.1,0.007,0.0,0.0,16.0,4.7,2.2,0.5
403,18,POR,1997,Chris Anstey,155.0,2157.0,813.0,534.0,127.0,0.413,0.138,0.755,2.8,0.062,0.0,0.0,13.9,5.2,3.4,0.8
